X,Y,profile_id,profile_layer_id,country_name,upper_depth,lower_depth,layer_name,litter,orgc_value,orgc_value_avg,orgc_method,orgc_date,orgc_dataset_id,orgc_profile_code,orgc_licence
-101.8211136,33.690834,161428,754057,United States of America,15,33,A,0,"{1:5.10,2:5.10}",5.1,"{""1:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified"",""2:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified""}","{1:1980-9-3,2:1980-9-3}",US-NCSS,81P0002,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
-101.8211136,33.690834,161428,754060,United States of America,86,119,Bt3,0,"{1:1.80,2:1.80}",1.8,"{""1:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified"",""2:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified""}","{1:1980-9-3,2:1980-9-3}",US-NCSS,81P0002,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
-101.8211136,33.690834,161428,754062,United States of America,152,198,Btk2,0,"{1:1.40,2:1.40}",1.4,"{""1:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified"",""2:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified""}","{1:1980-9-3,2:1980-9-3}",US-NCSS,81P0002,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
-101.8211136,33.690834,161429,754070,United States of America,130,165,Btk1,0,"{1:0.90,2:0.90}",0.9,"{""1:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified"",""2:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified""}","{1:1980-9-1,2:1980-9-1}",US-NCSS,81P0003,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
-102.4005585,34.4399986,161727,755607,United States of America,0,18,Ap,0,"{1:6.80,2:6.80}",6.8,"{""1:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified"",""2:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified""}","{1:1981-2-3,2:1981-2-3}",US-NCSS,81P0326,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
-102.4005585,34.4399986,161727,755608,United States of America,18,51,Bt1,0,"{1:6.90,2:6.90}",6.9,"{""1:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified"",""2:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified""}","{1:1981-2-3,2:1981-2-3}",US-NCSS,81P0326,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
-102.4005585,34.4399986,161727,755609,United States of America,51,84,Bt2,0,"{1:4.30,2:4.30}",4.3,"{""1:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified"",""2:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified""}","{1:1981-2-3,2:1981-2-3}",US-NCSS,81P0326,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
-101.258331299999,33.0849991,161864,756567,United States of America,0,16,A1,0,"{1:6.00,2:6.00}",6,"{""1:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified"",""2:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified""}","{1:1981-6-1,2:1981-6-1}",US-NCSS,81P0468,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
-101.258331299999,33.0849991,161864,756568,United States of America,16,30,B1,0,"{1:7.00,2:7.00}",7,"{""1:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified"",""2:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified""}","{1:1981-6-1,2:1981-6-1}",US-NCSS,81P0468,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
-101.258331299999,33.0849991,161864,756572,United States of America,105,158,2Cr1,0,"{1:1.20,2:1.20}",1.2,"{""1:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified"",""2:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified""}","{1:1981-6-1,2:1981-6-1}",US-NCSS,81P0468,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
-101.258331299999,33.0849991,161864,756573,United States of America,158,190,2Cr2,0,"{1:1.10,2:1.10}",1.1,"{""1:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified"",""2:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified""}","{1:1981-6-1,2:1981-6-1}",US-NCSS,81P0468,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
-101.258331299999,33.0849991,161864,756574,United States of America,190,221,2Cr3,0,"{1:1.00,2:1.00}",1,"{""1:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified"",""2:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified""}","{1:1981-6-1,2:1981-6-1}",US-NCSS,81P0468,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
-101.258331299999,33.0849991,161864,756575,United States of America,221,254,2Cr4,0,"{1:1.10,2:1.10}",1.1,"{""1:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified"",""2:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified""}","{1:1981-6-1,2:1981-6-1}",US-NCSS,81P0468,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
-101.258331299999,33.0849991,161864,756576,United States of America,254,284,2Cr5,0,"{1:1.10,2:1.10}",1.1,"{""1:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified"",""2:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified""}","{1:1981-6-1,2:1981-6-1}",US-NCSS,81P0468,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
-101.1833344,33.1375008,161865,756577,United States of America,0,17,A1,0,"{1:10.70,2:10.70}",10.7,"{""1:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified"",""2:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified""}","{1:1981-6-1,2:1981-6-1}",US-NCSS,81P0469,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
-101.1833344,33.1375008,161865,756578,United States of America,17,43,A2,0,"{1:7.20,2:7.20}",7.2,"{""1:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified"",""2:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified""}","{1:1981-6-1,2:1981-6-1}",US-NCSS,81P0469,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
-101.1833344,33.1375008,161865,756579,United States of America,43,66,,0,"{1:6.60,2:6.60}",6.6,"{""1:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified"",""2:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified""}","{1:1981-6-1,2:1981-6-1}",US-NCSS,81P0469,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
-101.1833344,33.1375008,161865,756580,United States of America,66,93,,0,"{1:4.80,2:4.80}",4.8,"{""1:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified"",""2:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified""}","{1:1981-6-1,2:1981-6-1}",US-NCSS,81P0469,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
-101.1833344,33.1375008,161865,756581,United States of America,93,134,,0,"{1:3.20,2:3.20}",3.2,"{""1:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified"",""2:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified""}","{1:1981-6-1,2:1981-6-1}",US-NCSS,81P0469,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
-101.1833344,33.1375008,161865,756582,United States of America,134,151,,0,"{1:1.80,2:1.80}",1.8,"{""1:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified"",""2:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified""}","{1:1981-6-1,2:1981-6-1}",US-NCSS,81P0469,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
