"forc_st" "forc_sw" "forc_npp" "month" "day"
14.3745 0.235 0.01764 9 12
14.315 0.2349 0.01764 9 13
14.2802 0.235 0.03293 9 14
14.2203 0.2361 0.44048 9 15
14.161 0.2367 0.03313 9 16
14.048 0.237 0.14642 9 17
13.8862 0.2371 0.01764 9 18
13.7408 0.2371 0.01764 9 19
13.5172 0.2369 0.01764 9 20
13.3974 0.2371 0.01764 9 21
13.3312 0.2373 0.01764 9 22
13.2353 0.2372 0.01764 9 23
13.1083 0.2371 0.01764 9 24
12.9371 0.2377 0.01764 9 25
12.8042 0.2383 0.01764 9 26
12.743 0.2386 0.01764 9 27
12.6818 0.239 0.01764 9 28
12.6579 0.2394 0.01764 9 29
12.6015 0.2397 0.01764 9 30
12.6899 0.2392 0.01764 10 1
12.7467 0.2388 0.01764 10 2
12.728 0.2382 0.01764 10 3
12.6757 0.2381 0.01764 10 4
12.5738 0.2386 0.01764 10 5
12.4405 0.2394 0.01764 10 6
12.3636 0.2402 0.01764 10 7
12.2716 0.2403 0.01764 10 8
12.1508 0.2401 0.01764 10 9
11.9973 0.2398 0.01764 10 10
11.9134 0.2398 0.01764 10 11
11.8747 0.2399 0.01764 10 12
11.8435 0.2401 0.01764 10 13
11.7975 0.2401 0.01764 10 14
11.7397 0.2401 0.01764 10 15
11.6568 0.2401 0.01764 10 16
11.5313 0.2399 0.01764 10 17
11.2888 0.2396 0.01764 10 18
11.0327 0.2397 0.01764 10 19
10.8266 0.2398 0.01764 10 20
10.7274 0.2401 0.01764 10 21
10.6868 0.2404 0.01764 10 22
10.6389 0.2407 0.01764 10 23
10.5553 0.2406 0.01764 10 24
10.4133 0.2403 0.01764 10 25
10.3507 0.24 0.01764 10 26
10.2908 0.2405 0.01764 10 27
10.2309 0.241 0.01764 10 28
9.51964 0.2419 0.01764 10 29
9.51028 0.2422 0.01764 10 30
9.9175 0.2428 0.01764 10 31
9.8722 0.2428 0.01764 11 1
9.8275 0.2429 0.01764 11 2
9.757 0.2432 0.01764 11 3
9.7064 0.2434 0.01764 11 4
9.51331 0.2431 0.01764 11 5
9.5179 0.2431 0.01764 11 6
9.4607 0.2434 0.01764 11 7
9.3847 0.2438 0.01764 11 8
9.21 0.2453 0.01764 11 9
9.0773 0.2457 0.01764 11 10
9.0175 0.2451 0.01764 11 11
8.8685 0.2448 0.01764 11 12
8.7494 0.2451 0.01764 11 13
8.6063 0.2455 0.01764 11 14
8.4938 0.2451 0.01764 11 15
8.3849 0.2445 0.01764 11 16
8.2893 0.244 0.01764 11 17
8.1994 0.244 0.01764 11 18
8.0834 0.2443 0.01764 11 19
7.9292 0.2448 0.01764 11 20
7.806 0.2449 0.01764 11 21
7.7808 0.2446 0.01764 11 22
7.8154 0.2445 0.01764 11 23
7.8081 0.2447 0.01764 11 24
7.7428 0.2454 0.01764 11 25
7.7204 0.2455 0.01764 11 26
7.698 0.2457 0.01764 11 27
7.6373 0.2455 0.01764 11 28
7.5007 0.2456 0.01764 11 29
7.4316 0.2458 0.01764 11 30
7.3211 0.2456 0.01764 12 1
7.311 0.245 0.01764 12 2
7.3588 0.2446 0.01764 12 3
7.3581 0.2441 0.01764 12 4
7.2677 0.2438 0.01764 12 5
7.1894 0.2434 0.01764 12 6
6.9981 0.2432 0.01764 12 7
6.8694 0.2433 0.01764 12 8
6.8204 0.2437 0.01764 12 9
6.7826 0.2435 0.01764 12 10
6.6823 0.2433 0.01764 12 11
6.5889 0.2431 0.01764 12 12
6.5682 0.2432 0.01764 12 13
6.5368 0.2433 0.01764 12 14
6.5595 0.2434 0.01764 12 15
6.5386 0.2437 0.01764 12 16
6.533 0.244 0.01764 12 17
6.553 0.2446 0.01764 12 18
6.6298 0.2454 0.01764 12 19
6.6558 0.2457 0.01764 12 20
6.6873 0.246 0.01764 12 21
6.6437 0.2461 0.01764 12 22
6.4884 0.2456 0.01764 12 23
6.3297 0.2458 0.01764 12 24
6.2337 0.2456 0.01764 12 25
6.1939 0.245 0.01764 12 26
6.1541 0.2445 0.01764 12 27
6.1668 0.2441 0.01764 12 28
6.1851 0.2443 0.01764 12 29
6.2225 0.2446 0.01764 12 30
6.2056 0.2448 0.01764 12 31
