# Soil Total Carbon and Nitrogen by Depth - Deep Cores,,,,,,,
#,,,,,,,
# Original Data Source: https://lter.kbs.msu.edu/datatables/164,,,,,,,
# The newest version of the data https://lter.kbs.msu.edu/datatables/164.csv,,,,,,,
# Full EML Metadata: https://lter.kbs.msu.edu/datasets/47.eml,,,,,,,
#,,,,,,,
# These Data are copyrighted and use in a publication requires written permission,,,,,,,
# as detailed in our Terms of use:  https://lter.kbs.msu.edu/data/terms-of-use/,,,,,,,
# Use of the data constitutes acceptance of the terms.,,,,,,,
#,,,,,,,
#     VARIATE TABLE,,,,,,,
"# sample_date		date the sample was taken",,,,,,,
"# treatment		treatment the sample was collected from",,,,,,,
"# replicate		replicate that the sample was collected from",,,,,,,
"# station		station within the plot that was sampled",,,,,,,
"# core		there were 2 cores taken at each sample site. in 2001 core 1 was analyzed and core 2 was archived.",,,,,,,
"# depth		slice of the deepcore",,,,,,,
"# n_percent	gramsPerHectogram	average percent N in the sample",,,,,,,
"# c_percent	gramsPerHectogram	average percent of C in the sample",,,,,,,
#,,,,,,,
#,,,,,,,
#        DATA TABLE CORRECTIONS AND COMMENTS,,,,,,,
#2012-1-12. Sven Bohm. Discovered that T4 rep 6 had some sample_dates coded as 2006 rather than 2001. I've corrected the dates.,,,,,,,
#2012-1-13. Sven Bohm. Included the core in the data. In 2001 we only analyzed core 1. I also discovered that the dataset included all the individual approved measurements. I changed it to report one average measurement for each treatment, replicate, depth (section) and core.,,,,,
#2019-3-28 Sven Bohm. treatment T1 replicate 1 station 1 and 2  and T6 rep 1 station 5 had samples that were re-run and the re-run samples were coded with the wrong sample dates,  This resulted in two sample dates for those stations in the output dataset. I updated the sample_dates on the rerun samples and excluded the original samples from the dataset.,,,,,,
#,,,,,,,
#,,,,,,gramsPerHectogram,gramsPerHectogram
sample_date,treatment,replicate,station,core,depth,n_percent,c_percent
9/6/2001,T5,R6,1,C1,Middle,0.0269,0.344
9/6/2001,T5,R6,1,C1,Surface,0.1046,1.2853
9/6/2001,T5,R6,2,C1,Deep,0.0189,0.1822
9/6/2001,T5,R6,2,C1,Middle,0.0555,0.7615
9/6/2001,T5,R6,2,C1,Surface,0.1284,1.6621
9/6/2001,T5,R6,3,C1,Deep,0.0434,0.1512
9/6/2001,T5,R6,3,C1,Middle,0.0314,0.2943
9/6/2001,T5,R6,3,C1,Surface,0.1051,1.1378
9/6/2001,T5,R6,4,C1,Deep,0.0119,0.1056
9/6/2001,T5,R6,4,C1,Middle,0.0534,0.5486
9/6/2001,T5,R6,4,C1,Surface,0.1031,1.2768
9/6/2001,T5,R6,5,C1,Deep,0.0212,0.2005
9/6/2001,T5,R6,5,C1,Middle,0.0619,0.6506
9/6/2001,T5,R6,5,C1,Surface,0.1379,1.6599
9/6/2001,T8,R1,1,C1,Deep,0.0512,0.0764
9/6/2001,T8,R1,1,C1,Middle,0.0504,0.3486
9/6/2001,T8,R1,1,C1,Surface,0.1763,2.0786
9/6/2001,T8,R1,2,C1,Deep,0.0371,0.0864
9/6/2001,T8,R1,2,C1,Middle,0.0681,0.3544
9/6/2001,T8,R1,2,C1,Surface,0.2584,2.9445
9/6/2001,T8,R1,3,C1,Deep,0.044,0.0452
9/6/2001,T8,R1,3,C1,Middle,0.0661,0.3077
9/6/2001,T8,R1,3,C1,Surface,0.1964,2.5346
9/6/2001,T8,R1,4,C1,Deep,0.0526,0.1731
9/6/2001,T8,R1,4,C1,Middle,0.0812,0.5115
9/6/2001,T8,R1,4,C1,Surface,0.2154,3.0709
9/6/2001,T8,R1,5,C1,Deep,0.0423,0.0937
9/6/2001,T8,R1,5,C1,Middle,0.0622,0.3177
9/6/2001,T8,R1,5,C1,Surface,0.2355,3.2954
9/6/2001,T8,R2,1,C1,Deep,0.0387,0.0363
9/6/2001,T8,R2,1,C1,Middle,0.0643,0.3841
9/6/2001,T8,R2,1,C1,Surface,0.2286,2.899
9/6/2001,T8,R2,2,C1,Deep,0.0476,0.1677
9/6/2001,T8,R2,2,C1,Middle,0.0572,0.4439
9/6/2001,T8,R2,2,C1,Surface,0.2359,3.5377
9/6/2001,T8,R2,3,C1,Deep,0.0563,0.2016
9/6/2001,T8,R2,3,C1,Middle,0.0883,0.4967
9/6/2001,T8,R2,3,C1,Surface,0.2159,2.1584
9/6/2001,T8,R2,4,C1,Deep,0.0491,0.4478
9/6/2001,T8,R2,4,C1,Middle,0.0627,0.5694
9/6/2001,T8,R2,4,C1,Surface,0.2711,3.3439
9/6/2001,T8,R2,5,C1,Deep,0.0565,0.2616
9/6/2001,T8,R2,5,C1,Middle,0.0574,0.4112
9/6/2001,T8,R2,5,C1,Surface,0.1921,2.2719
9/4/2001,T2,R6,1,C1,Deep,0.0223,0.094
9/4/2001,T2,R6,1,C1,Middle,0.0625,0.4642
9/4/2001,T2,R6,1,C1,Surface,0.1041,1.0196
9/4/2001,T2,R6,2,C1,Deep,0.0289,0.1382
9/4/2001,T2,R6,2,C1,Middle,0.0476,0.2893
9/4/2001,T2,R6,2,C1,Surface,0.1286,1.4053
9/4/2001,T2,R6,3,C1,Deep,0.0554,0.2722
9/4/2001,T2,R6,3,C1,Middle,0.0849,0.4377
9/4/2001,T2,R6,3,C1,Surface,0.1527,1.3704
9/4/2001,T2,R6,4,C1,Deep,0.0286,0.1703
9/4/2001,T2,R6,4,C1,Middle,0.0482,0.4218
9/4/2001,T2,R6,4,C1,Surface,0.1126,1.0818
9/4/2001,T2,R6,5,C1,Deep,0.055,0.1979
9/4/2001,T2,R6,5,C1,Middle,0.0484,0.3509
9/4/2001,T2,R6,5,C1,Surface,0.1153,1.2727
9/4/2001,T3,R6,1,C1,Deep,0.0587,0.2018
9/4/2001,T3,R6,1,C1,Middle,0.1118,1.0182
9/4/2001,T3,R6,1,C1,Surface,0.1758,1.6537
9/4/2001,T3,R6,2,C1,Deep,0.0463,0.0994
9/4/2001,T3,R6,2,C1,Middle,0.0611,0.2215
9/4/2001,T3,R6,2,C1,Surface,0.124,1.1154
9/4/2001,T3,R6,3,C1,Deep,0.0398,0.0828
9/4/2001,T3,R6,3,C1,Middle,0.0756,0.3654
9/4/2001,T3,R6,3,C1,Surface,0.1367,1.1888
9/4/2001,T3,R6,4,C1,Deep,0.0181,0.0587
9/4/2001,T3,R6,4,C1,Middle,0.0622,0.369
9/4/2001,T3,R6,4,C1,Surface,0.1497,1.3644
9/4/2001,T3,R6,5,C1,Deep,0.0079,0.0257
9/4/2001,T3,R6,5,C1,Middle,0.0348,0.2511
9/4/2001,T3,R6,5,C1,Surface,0.1015,1.069
8/30/2001,T4,R6,1,C1,Deep,0.0347,0.0176
8/30/2001,T4,R6,1,C1,Middle,0.0585,0.2504
8/30/2001,T4,R6,1,C1,Surface,0.1356,1.1981
8/30/2001,T4,R6,2,C1,Deep,0.0357,0.0992
8/30/2001,T4,R6,2,C1,Middle,0.0691,0.3214
8/30/2001,T4,R6,2,C1,Surface,0.15,1.3424
8/30/2001,T4,R6,3,C1,Deep,0.0124,0.0728
8/30/2001,T4,R6,3,C1,Middle,0.0577,0.3992
8/30/2001,T4,R6,3,C1,Surface,0.1178,1.0368
8/30/2001,T4,R6,4,C1,Deep,0.0028,0.0573
8/30/2001,T4,R6,4,C1,Middle,0.023,0.2117
8/30/2001,T4,R6,4,C1,Surface,0.1108,1.2749
8/30/2001,T4,R6,5,C1,Deep,0.0471,0.113
8/30/2001,T4,R6,5,C1,Middle,0.0508,0.2189
8/30/2001,T4,R6,5,C1,Surface,0.1108,1.2736
8/30/2001,T7,R6,1,C1,Deep,0.0265,0.3347
8/30/2001,T7,R6,1,C1,Middle,0.0625,0.6104
8/30/2001,T7,R6,1,C1,Surface,0.117,1.2517
8/30/2001,T7,R6,2,C1,Deep,0.031,0.2669
8/30/2001,T7,R6,2,C1,Middle,0.0511,0.4542
8/30/2001,T7,R6,2,C1,Surface,0.1252,1.5847
8/30/2001,T7,R6,3,C1,Deep,0.022,0.2269
8/30/2001,T7,R6,3,C1,Middle,0.0416,0.3387
8/30/2001,T7,R6,3,C1,Surface,0.1234,1.3143
8/30/2001,T7,R6,4,C1,Deep,0.0279,0.2579
8/30/2001,T7,R6,4,C1,Middle,0.0561,0.5457
8/30/2001,T7,R6,4,C1,Surface,0.1245,1.3874
8/30/2001,T7,R6,5,C1,Deep,0.025,0.2082
8/30/2001,T7,R6,5,C1,Middle,0.059,0.5413
8/30/2001,T7,R6,5,C1,Surface,0.131,1.5005
8/27/2001,T1,R6,3,C1,Deep,0.0309,0.094
8/27/2001,T1,R6,3,C1,Middle,0.0273,0.1194
8/27/2001,T1,R6,3,C1,Surface,0.0995,1.0378
8/27/2001,T1,R6,4,C1,Deep,0.0223,0.0756
8/27/2001,T1,R6,4,C1,Middle,0.0515,0.3003
8/27/2001,T1,R6,4,C1,Surface,0.1242,1.2783
8/27/2001,T1,R6,5,C1,Deep,0.018,0.0713
