ApsimVersion = 7.10 r4220
Title = scen_1_1
           Date          bd(1) paddock.soybean.yield paddock.wheat.yield paddock.maize.yield          sw(1)          st(1) paddock.soybean.biomass paddock.wheat.biomass paddock.maize.biomass         stover         dul(1)         sat(1)          ph(1) n2o_bylayer_kgha(1) n2o_bylayer_kgha(2) n2o_bylayer_kgha(3) n2o_bylayer_kgha(4) n2o_bylayer_kgha(5) oc_bylayer_kgha(1) oc_bylayer_kgha(2) oc_bylayer_kgha(3) oc_bylayer_kgha(4) oc_bylayer_kgha(5)
   (dd/mm/yyyy)       (g/cm^3)               (kg/ha)             (kg/ha)             (kg/ha)        (mm/mm)           (oC)                 (kg/ha)               (kg/ha)               (kg/ha)        (kg/ha)        (mm/mm)        (mm/mm)           (pH)             (kg/ha)             (kg/ha)             (kg/ha)             (kg/ha)             (kg/ha)                (%)                (%)                (%)                (%)                (%)
     08/03/2003          0.800                   0.0                 0.0                 0.0          0.228          0.628                     0.0                   0.0                   0.0            0.0          0.260          0.438          5.500          0.00000000          0.00000000          0.00000000          0.00000000          0.00000000         0.87013100         0.43000800         0.43000700         0.23301100         0.19001300
     09/03/2003          0.800                   0.0                 0.0                 0.0          0.229          1.336                     0.0                   0.0                   0.0            0.0          0.260          0.438          5.500          0.00000000          0.00000000          0.00000000          0.00000000          0.00000000         0.87013100         0.43000800         0.43000700         0.23301100         0.19001400
     10/03/2003          0.800                   0.0                 0.0                 0.0          0.229          0.819                     0.0                   0.0                   0.0            0.0          0.260          0.438          5.500          0.00000000          0.00000000          0.00000000          0.00000000          0.00000000         0.87013100         0.43000900         0.43000700         0.23301100         0.19001400
     11/03/2003          0.800                   0.0                 0.0                 0.0          0.225          1.213                     0.0                   0.0                   0.0            0.0          0.260          0.438          5.500          0.00000000          0.00000000          0.00000000          0.00000000          0.00000000         0.87013100         0.43000900         0.43000800         0.23301200         0.19001400
     12/03/2003          0.800                   0.0                 0.0                 0.0          0.216          2.823                     0.0                   0.0                   0.0            0.0          0.260          0.438          5.500          0.00000000          0.00000000          0.00000000          0.00000000          0.00000000         0.87019800         0.43000900         0.43000800         0.23301200         0.19001400
     13/03/2003          0.800                   0.0                 0.0                 0.0          0.231          2.301                     0.0                   0.0                   0.0            0.0          0.260          0.438          5.500          0.00000000          0.00000000          0.00000000          0.00000000          0.00000000         0.87019900         0.43001000         0.43000800         0.23301200         0.19001500
     14/03/2003          0.800                   0.0                 0.0                 0.0          0.218          2.933                     0.0                   0.0                   0.0            0.0          0.260          0.438          5.500          0.00000000          0.00000000          0.00000000          0.00000000          0.00000000         0.87020200         0.43001000         0.43000800         0.23301300         0.19001500
     15/03/2003          0.800                   0.0                 0.0                 0.0          0.208          6.233                     0.0                   0.0                   0.0            0.0          0.260          0.438          5.500          0.00000000          0.00000000          0.00000000          0.00000000          0.00000000         0.87031100         0.43001200         0.43001000         0.23301400         0.19001600
     16/03/2003          0.800                   0.0                 0.0                 0.0          0.202          9.435                     0.0                   0.0                   0.0            0.0          0.260          0.438          5.500          0.00000000          0.00000000          0.00000000          0.00000000          0.00000000         0.87044200         0.43001700         0.43001200         0.23301700         0.19001800
     17/03/2003          0.800                   0.0                 0.0                 0.0          0.200         11.504                     0.0                   0.0                   0.0            0.0          0.260          0.438          5.500          0.00000000          0.00000000          0.00000000          0.00000000          0.00000000         0.87056300         0.43002300         0.43001500         0.23302000         0.19002100
     18/03/2003          0.800                   0.0                 0.0                 0.0          0.199         14.544                     0.0                   0.0                   0.0            0.0          0.260          0.438          5.500          0.00000000          0.00000000          0.00000000          0.00000000          0.00000000         0.87064600         0.43003400         0.43002000         0.23302500         0.19002400
     19/03/2003          0.800                   0.0                 0.0                 0.0          0.201         15.319                     0.0                   0.0                   0.0            0.0          0.260          0.438          5.500          0.00000000          0.00000000          0.00000000          0.00000000          0.00000000         0.87068800         0.43004400         0.43002600         0.23303000         0.19002800
     20/03/2003          0.800                   0.0                 0.0                 0.0          0.200         15.977                     0.0                   0.0                   0.0            0.0          0.260          0.438          5.500          0.00000000          0.00000000          0.00000000          0.00000000          0.00000000         0.87074200         0.43005500         0.43003100         0.23303500         0.19003200
     21/03/2003          0.800                   0.0                 0.0                 0.0          0.239         15.620                     0.0                   0.0                   0.0            0.0          0.260          0.438          5.500          0.00000000          0.00000000          0.00000000          0.00000000          0.00000000         0.87082200         0.43006600         0.43003600         0.23304000         0.19003600
     22/03/2003          0.800                   0.0                 0.0                 0.0          0.228         13.311                     0.0                   0.0                   0.0            0.0          0.260          0.438          5.500          0.00000000          0.00000000          0.00000000          0.00000000          0.00000000         0.87085000         0.43007300         0.43004000         0.23304400         0.19003900
     23/03/2003          0.800                   0.0                 0.0                 0.0          0.216         12.045                     0.0                   0.0                   0.0            0.0          0.260          0.438          5.500          0.00000000          0.00000000          0.00000000          0.00000000          0.00000000         0.87087200         0.43007900         0.43004300         0.23304700         0.19004100
     24/03/2003          0.800                   0.0                 0.0                 0.0          0.207         13.434                     0.0                   0.0                   0.0            0.0          0.260          0.438          5.500          0.00000000          0.00000000          0.00000000          0.00000000          0.00000000         0.87089300         0.43008600         0.43004700         0.23305100         0.19004400
     25/03/2003          0.800                   0.0                 0.0                 0.0          0.205         13.865                     0.0                   0.0                   0.0            0.0          0.260          0.438          5.500          0.00000000          0.00000000          0.00000000          0.00000000          0.00000000         0.87091700         0.43009400         0.43005000         0.23305400         0.19004700
     26/03/2003          0.800                   0.0                 0.0                 0.0          0.203         13.429                     0.0                   0.0                   0.0            0.0          0.260          0.438          5.500          0.00000000          0.00000000          0.00000000          0.00000000          0.00000000         0.87094400         0.43010000         0.43005400         0.23305800         0.19004900
     27/03/2003          0.800                   0.0                 0.0                 0.0          0.202         14.877                     0.0                   0.0                   0.0            0.0          0.260          0.438          5.500          0.00000000          0.00000000          0.00000000          0.00000000          0.00000000         0.87096600         0.43010800         0.43005700         0.23306200         0.19005200
     28/03/2003          0.800                   0.0                 0.0                 0.0          0.202         16.006                     0.0                   0.0                   0.0            0.0          0.260          0.438          5.500          0.00000000          0.00000000          0.00000000          0.00000000          0.00000000         0.87099100         0.43011700         0.43006200         0.23306600         0.19005500
     29/03/2003          0.800                   0.0                 0.0                 0.0          0.201         15.396                     0.0                   0.0                   0.0            0.0          0.260          0.438          5.500          0.00000000          0.00000000          0.00000000          0.00000000          0.00000000         0.87102300         0.43012500         0.43006600         0.23307000         0.19005800
     30/03/2003          0.800                   0.0                 0.0                 0.0          0.200         12.634                     0.0                   0.0                   0.0            0.0          0.260          0.438          5.500          0.00000000          0.00000000          0.00000000          0.00000000          0.00000000         0.87103000         0.43013000         0.43006800         0.23307300         0.19006100
     31/03/2003          0.800                   0.0                 0.0                 0.0          0.199         11.686                     0.0                   0.0                   0.0            0.0          0.260          0.438          5.500          0.00000000          0.00000000          0.00000000          0.00000000          0.00000000         0.87103700         0.43013500         0.43007000         0.23307500         0.19006200
     01/04/2003          0.800                   0.0                 0.0                 0.0          0.199         11.845                     0.0                   0.0                   0.0            0.0          0.260          0.438          5.500          0.00000000          0.00000000          0.00000000          0.00000000          0.00000000         0.87104400         0.43013900         0.43007200         0.23307700         0.19006400
     02/04/2003          0.800                   0.0                 0.0                 0.0          0.198         12.438                     0.0                   0.0                   0.0            0.0          0.260          0.438          5.500          0.00000000          0.00000000          0.00000000          0.00000000          0.00000000         0.87105100         0.43014400         0.43007500         0.23308000         0.19006600
     03/04/2003          0.800                   0.0                 0.0                 0.0          0.197         13.010                     0.0                   0.0                   0.0            0.0          0.260          0.438          5.500          0.00000000          0.00000000          0.00000000          0.00000000          0.00000000         0.87105900         0.43014900         0.43007700         0.23308200         0.19006800
     04/04/2003          0.800                   0.0                 0.0                 0.0          0.334         13.845                     0.0                   0.0                   0.0            0.0          0.260          0.438          5.500          0.00000100          0.00000000          0.00000000          0.00000000          0.00000000         0.87109200         0.43015400         0.43008000         0.23308500         0.19007000
     05/04/2003          0.800                   0.0                 0.0                 0.0          0.302         12.959                     0.0                   0.0                   0.0            0.0          0.260          0.438          5.500          0.00000100          0.00000000          0.00000000          0.00000000          0.00000000         0.87109900         0.43015900         0.43008200         0.23308800         0.19007200
     06/04/2003          0.800                   0.0                 0.0                 0.0          0.346         10.754                     0.0                   0.0                   0.0            0.0          0.260          0.438          5.500          0.00000100          0.00001600          0.00000000          0.00000000          0.00000000         0.87110200         0.43016200         0.43008400         0.23309000         0.19007400
